JD,WD,new
124.61377086444334,37.41329208226326,"124.61377086444334,37.41329208226326"
125.39038890139545,35.7794026598046,"125.39038890139545,35.7794026598046"
124.2620075624359,38.32464054403017,"124.2620075624359,38.32464054403017"
125.43741476322754,34.98750223152374,"125.43741476322754,34.98750223152374"
125.01006303262955,36.47435078900721,"125.01006303262955,36.47435078900721"
124.28283009749522,37.85826711601168,"124.28283009749522,37.85826711601168"
124.32746166254411,38.80790098260296,"124.32746166254411,38.80790098260296"
124.62366732135322,36.897145800722264,"124.62366732135322,36.897145800722264"
125.37570452180323,34.64416122930543,"125.37570452180323,34.64416122930543"
125.28192025091786,36.14665209476431,"125.28192025091786,36.14665209476431"
125.42271605520912,35.429478297414555,"125.42271605520912,35.429478297414555"
124.52618772485222,37.67554733732861,"124.52618772485222,37.67554733732861"
124.68875833000392,36.72268655531831,"124.68875833000392,36.72268655531831"
124.12403773686515,38.05198018654019,"124.12403773686515,38.05198018654019"
124.28250325470029,38.58698300704401,"124.28250325470029,38.58698300704401"
125.44620325593522,35.138158759150265,"125.44620325593522,35.138158759150265"
124.60188363903433,37.16209763505007,"124.60188363903433,37.16209763505007"
125.25676737499788,36.340744664780246,"125.25676737499788,36.340744664780246"
125.38907259235908,35.94290905768209,"125.38907259235908,35.94290905768209"
124.85298707002423,36.568156750970076,"124.85298707002423,36.568156750970076"
125.3970943263454,35.68768327626502,"125.3970943263454,35.68768327626502"
125.42592830223047,35.26053446548672,"125.42592830223047,35.26053446548672"
124.18510824404963,37.91746430193723,"124.18510824404963,37.91746430193723"
125.41849222148193,34.8469417614121,"125.41849222148193,34.8469417614121"
124.1542755491706,38.13170474095404,"124.1542755491706,38.13170474095404"
124.25169448609668,38.44731445555239,"124.25169448609668,38.44731445555239"
124.40875720624933,37.711794688795464,"124.40875720624933,37.711794688795464"
125.1233402182631,36.38022780320808,"125.1233402182631,36.38022780320808"
125.37210315849842,34.50787680525396,"125.37210315849842,34.50787680525396"
124.6524584027334,37.00875791298937,"124.6524584027334,37.00875791298937"
125.3993262962719,35.5504586555677,"125.3993262962719,35.5504586555677"
124.56883990642064,37.442174936516494,"124.56883990642064,37.442174936516494"
124.16769710814955,38.25533100678633,"124.16769710814955,38.25533100678633"
124.31435383574754,38.70098341302045,"124.31435383574754,38.70098341302045"
124.59143176821021,37.220312220454204,"124.59143176821021,37.220312220454204"
124.63853341116688,36.814500052932786,"124.63853341116688,36.814500052932786"
125.37450359617,36.1643204805005,"125.37450359617,36.1643204805005"
124.55029529822176,37.61151830819782,"124.55029529822176,37.61151830819782"
124.3673370126388,37.818657247329995,"124.3673370126388,37.818657247329995"
124.77516294503245,36.66657967339439,"124.77516294503245,36.66657967339439"
125.4003050033175,34.72840012979976,"125.4003050033175,34.72840012979976"
124.57285095927683,37.28703891125097,"124.57285095927683,37.28703891125097"
125.35712549555984,35.88045602748922,"125.35712549555984,35.88045602748922"
