WD,JD,new
30.42487881,123.1930757,"123.1930757,30.42487881"
30.44115254,123.19125249999999,"123.19125249999999,30.44115254"
30.45742627,123.18939479999999,"123.18939479999999,30.45742627"
30.4737,123.1875027,"123.1875027,30.4737"
30.48997373,123.18557630000001,"123.18557630000001,30.48997373"
30.50624746,123.18361570000002,"123.18361570000002,30.50624746"
30.52252119,123.18162109999999,"123.18162109999999,30.52252119"
30.53879492,123.17959270000001,"123.17959270000001,30.53879492"
30.55506864,123.17753049999999,"123.17753049999999,30.55506864"
30.57134237,123.17543490000001,"123.17543490000001,30.57134237"
30.5876161,123.17330590000002,"123.17330590000002,30.5876161"
30.60388983,123.1711439,"123.1711439,30.60388983"
30.62016356,123.168949,"123.168949,30.62016356"
30.63643729,123.16672140000001,"123.16672140000001,30.63643729"
30.65271102,123.16446140000001,"123.16446140000001,30.65271102"
30.66898475,123.1621693,"123.1621693,30.66898475"
30.68525847,123.1598453,"123.1598453,30.68525847"
30.7015322,123.15748970000001,"123.15748970000001,30.7015322"
30.71780593,123.1551028,"123.1551028,30.71780593"
30.73407966,123.1526848,"123.1526848,30.73407966"
30.75035339,123.150236,"123.150236,30.75035339"
30.76662712,123.1477568,"123.1477568,30.76662712"
30.78290085,123.14524740000002,"123.14524740000002,30.78290085"
30.79917458,123.14270810000001,"123.14270810000001,30.79917458"
30.81544831,123.1401392,"123.1401392,30.81544831"
30.83172203,123.13754109999998,"123.13754109999998,30.83172203"
30.84799576,123.13491409999999,"123.13491409999999,30.84799576"
30.86426949,123.1322584,"123.1322584,30.86426949"
30.88054322,123.1295744,"123.1295744,30.88054322"
30.89681695,123.12686240000001,"123.12686240000001,30.89681695"
30.91309068,123.1241228,"123.1241228,30.91309068"
30.92936441,123.12135570000001,"123.12135570000001,30.92936441"
30.94563814,123.11856170000001,"123.11856170000001,30.94563814"
30.96191186,123.11574080000001,"123.11574080000001,30.96191186"
30.97818559,123.11289350000001,"123.11289350000001,30.97818559"
30.99445932,123.11002009999999,"123.11002009999999,30.99445932"
31.01073305,123.1071209,"123.1071209,31.01073305"
31.02700678,123.1041961,"123.1041961,31.02700678"
31.04328051,123.10124609999998,"123.10124609999998,31.04328051"
31.05955424,123.09827109999999,"123.09827109999999,31.05955424"
31.07582797,123.09527140000002,"123.09527140000002,31.07582797"
31.09210169,123.0922473,"123.0922473,31.09210169"
31.10837542,123.08919909999999,"123.08919909999999,31.10837542"
31.12464915,123.086127,"123.086127,31.12464915"
31.14092288,123.0830312,"123.0830312,31.14092288"
31.15719661,123.07991200000001,"123.07991200000001,31.15719661"
31.17347034,123.0767696,"123.0767696,31.17347034"
31.18974407,123.07360420000002,"123.07360420000002,31.18974407"
31.2060178,123.07041609999999,"123.07041609999999,31.2060178"
31.22229153,123.0672054,"123.0672054,31.22229153"
31.23856525,123.0639723,"123.0639723,31.23856525"
31.25483898,123.060717,"123.060717,31.25483898"
31.27111271,123.0574396,"123.0574396,31.27111271"
31.28738644,123.05414040000001,"123.05414040000001,31.28738644"
31.30366017,123.0508193,"123.0508193,31.30366017"
31.3199339,123.04747659999998,"123.04747659999998,31.3199339"
31.33620763,123.0441123,"123.0441123,31.33620763"
31.35248136,123.04072649999999,"123.04072649999999,31.35248136"
31.36875508,123.0373193,"123.0373193,31.36875508"
31.38502881,123.03389080000001,"123.03389080000001,31.38502881"
31.40130254,123.030441,"123.030441,31.40130254"
31.41757627,123.02696979999999,"123.02696979999999,31.41757627"
31.43385,123.0234774,"123.0234774,31.43385"
31.45012373,123.0199636,"123.0199636,31.45012373"
31.46639746,123.01642859999998,"123.01642859999998,31.46639746"
31.48267119,123.0128721,"123.0128721,31.48267119"
31.49894492,123.0092942,"123.0092942,31.49894492"
31.51521864,123.00569479999999,"123.00569479999999,31.51521864"
31.53149237,123.00207379999999,"123.00207379999999,31.53149237"
31.5477661,122.99843090000002,"122.99843090000002,31.5477661"
31.56403983,122.9947662,"122.9947662,31.56403983"
31.58031356,122.9910795,"122.9910795,31.58031356"
31.59658729,122.98737040000002,"122.98737040000002,31.59658729"
31.61286102,122.983639,"122.983639,31.61286102"
31.62913475,122.97988490000002,"122.97988490000002,31.62913475"
31.64540847,122.9761078,"122.9761078,31.64540847"
31.661682199999998,122.9723076,"122.9723076,31.661682199999998"
31.67795593,122.968484,"122.968484,31.67795593"
31.69422966,122.96463659999999,"122.96463659999999,31.69422966"
31.71050339,122.9607652,"122.9607652,31.71050339"
31.72677712,122.9568693,"122.9568693,31.72677712"
31.74305085,122.9529487,"122.9529487,31.74305085"
31.75932458,122.94900290000001,"122.94900290000001,31.75932458"
31.77559831,122.9450315,"122.9450315,31.77559831"
31.79187203,122.94103419999999,"122.94103419999999,31.79187203"
31.80814576,122.9370104,"122.9370104,31.80814576"
31.82441949,122.93295970000001,"122.93295970000001,31.82441949"
31.84069322,122.9288817,"122.9288817,31.84069322"
31.85696695,122.92477579999999,"122.92477579999999,31.85696695"
31.87324068,122.9206415,"122.9206415,31.87324068"
31.88951441,122.91647830000001,"122.91647830000001,31.88951441"
31.90578814,122.91228559999999,"122.91228559999999,31.90578814"
31.92206186,122.9080628,"122.9080628,31.92206186"
31.93833559,122.90380929999999,"122.90380929999999,31.93833559"
31.95460932,122.89952450000001,"122.89952450000001,31.95460932"
31.97088305,122.89520790000002,"122.89520790000002,31.97088305"
31.98715678,122.89085859999999,"122.89085859999999,31.98715678"
32.00343051,122.8864761,"122.8864761,32.00343051"
32.01970424,122.8820598,"122.8820598,32.01970424"
32.03597797,122.8776088,"122.8776088,32.03597797"
32.05225169,122.87312240000001,"122.87312240000001,32.05225169"
32.06852542,122.8686001,"122.8686001,32.06852542"
32.08479915,122.86404089999999,"122.86404089999999,32.08479915"
32.10107288,122.8594442,"122.8594442,32.10107288"
32.11734661,122.85480919999999,"122.85480919999999,32.11734661"
32.13362034,122.8501351,"122.8501351,32.13362034"
32.14989407,122.8454211,"122.8454211,32.14989407"
32.166167800000004,122.84066640000002,"122.84066640000002,32.166167800000004"
32.18244153,122.8358702,"122.8358702,32.18244153"
