WD,JD,new
26.76868192,121.2490006,"121.2490006,26.76868192"
26.77745322,121.24746359999999,"121.24746359999999,26.77745322"
26.78622452,121.2463635,"121.2463635,26.78622452"
26.79499582,121.2457186,"121.2457186,26.79499582"
26.80376712,121.24554640000001,"121.24554640000001,26.80376712"
26.81253842,121.24586370000002,"121.24586370000002,26.81253842"
26.82130972,121.2466861,"121.2466861,26.82130972"
26.83008102,121.2480287,"121.2480287,26.83008102"
26.83885232,121.24990520000001,"121.24990520000001,26.83885232"
26.84762362,121.2523287,"121.2523287,26.84762362"
26.85639492,121.2553112,"121.2553112,26.85639492"
26.86516621,121.2588635,"121.2588635,26.86516621"
26.87393751,121.2629955,"121.2629955,26.87393751"
26.88270881,121.26771609999999,"121.26771609999999,26.88270881"
26.89148011,121.27303290000002,"121.27303290000002,26.89148011"
26.90025141,121.2789524,"121.2789524,26.90025141"
26.90902271,121.28548020000001,"121.28548020000001,26.90902271"
26.91779401,121.29262040000002,"121.29262040000002,26.91779401"
26.92656531,121.3003761,"121.3003761,26.92656531"
26.93533661,121.3087495,"121.3087495,26.93533661"
26.94410791,121.31774109999998,"121.31774109999998,26.94410791"
26.95287921,121.3273507,"121.3273507,26.95287921"
26.96165051,121.33757659999998,"121.33757659999998,26.96165051"
26.97042181,121.3484162,"121.3484162,26.97042181"
26.97919311,121.3598655,"121.3598655,26.97919311"
26.98796441,121.3719195,"121.3719195,26.98796441"
26.99673571,121.3845719,"121.3845719,26.99673571"
27.00550701,121.39781550000001,"121.39781550000001,27.00550701"
27.01427831,121.41164170000002,"121.41164170000002,27.01427831"
27.023049600000004,121.42604109999998,"121.42604109999998,27.023049600000004"
27.031820899999996,121.44100290000002,"121.44100290000002,27.031820899999996"
27.040592200000003,121.45651550000001,"121.45651550000001,27.040592200000003"
27.049363500000002,121.47256599999999,"121.47256599999999,27.049363500000002"
27.0581348,121.4891409,"121.4891409,27.0581348"
27.066906099999997,121.5062253,"121.5062253,27.066906099999997"
27.075677399999996,121.52380349999999,"121.52380349999999,27.075677399999996"
27.084448699999996,121.541859,"121.541859,27.084448699999996"
27.093220000000002,121.56037420000001,"121.56037420000001,27.093220000000002"
