JD,WD,new
129.266576004151,33.2813802634872,"129.266576004151,33.2813802634872"
129.246120800113,33.278171318806,"129.246120800113,33.278171318806"
129.22693144881902,33.2751609569119,"129.22693144881902,33.2751609569119"
129.207123894675,33.272053613401496,"129.207123894675,33.272053613401496"
129.18523804027902,33.268620233029104,"129.18523804027902,33.268620233029104"
129.164529026887,33.2653714715768,"129.164529026887,33.2653714715768"
129.14277949402398,33.261959476875,"129.14277949402398,33.261959476875"
129.121292598916,33.2585886839148,"129.121292598916,33.2585886839148"
129.100451105314,33.2553191394057,"129.100451105314,33.2553191394057"
129.078598531062,33.251890979912,"129.078598531062,33.251890979912"
129.059230139481,33.2488525307705,"129.059230139481,33.2488525307705"
129.037823037387,33.245494255474,"129.037823037387,33.245494255474"
129.018129068852,33.242404730897896,"129.018129068852,33.242404730897896"
128.99659503361602,33.2390265427505,"128.99659503361602,33.2390265427505"
128.977104882945,33.235968992446104,"128.977104882945,33.235968992446104"
128.955617365545,33.2325981018627,"128.955617365545,33.2325981018627"
128.93605465562598,33.22952916870361,"128.93605465562598,33.22952916870361"
128.915976748618,33.2263794131312,"128.915976748618,33.2263794131312"
128.895337112088,33.2231415352913,"128.895337112088,33.2231415352913"
128.873431859057,33.219705111725304,"128.873431859057,33.219705111725304"
128.853077833385,33.2165120395711,"128.853077833385,33.2165120395711"
128.832077375533,33.2132175572768,"128.832077375533,33.2132175572768"
128.81060507750098,33.2098490542574,"128.81060507750098,33.2098490542574"
128.788636965369,33.2064027695636,"128.788636965369,33.2064027695636"
128.767124048993,33.203027894472896,"128.767124048993,33.203027894472896"
128.747352480269,33.1999261962361,"128.747352480269,33.1999261962361"
128.727134129282,33.1967544082773,"128.727134129282,33.1967544082773"
128.70787059288298,33.1937324084696,"128.70787059288298,33.1937324084696"
128.687428862975,33.1905255775653,"128.687428862975,33.1905255775653"
128.666160929536,33.1871891345866,"128.666160929536,33.1871891345866"
128.644430465916,33.1837801314046,"128.644430465916,33.1837801314046"
128.62362512943898,33.1805162591055,"128.62362512943898,33.1805162591055"
128.6038705226,33.1774172217932,"128.6038705226,33.1774172217932"
128.563489318736,33.1712148412218,"128.563489318736,33.1712148412218"
128.54387734741601,33.1682648638566,"128.54387734741601,33.1682648638566"
128.52248934555,33.1650477409901,"128.52248934555,33.1650477409901"
128.503301283753,33.1621615268985,"128.503301283753,33.1621615268985"
128.481356210862,33.158860610980895,"128.481356210862,33.158860610980895"
128.460015030079,33.155650530809496,"128.460015030079,33.155650530809496"
128.438331922206,33.1523890189303,"128.438331922206,33.1523890189303"
128.417715662213,33.149287979297696,"128.417715662213,33.149287979297696"
128.396438871106,33.1460875844396,"128.396438871106,33.1460875844396"
128.375525844163,33.1429419059602,"128.375525844163,33.1429419059602"
128.35358754422398,33.139642008810895,"128.35358754422398,33.139642008810895"
128.333767955716,33.1366608022543,"128.333767955716,33.1366608022543"
128.313701709521,33.1336424941446,"128.313701709521,33.1336424941446"
128.294112765512,33.1306959804825,"128.294112765512,33.1306959804825"
128.273876788977,33.1276521420143,"128.273876788977,33.1276521420143"
128.252779067968,33.1244786823748,"128.252779067968,33.1244786823748"
128.23328752856702,33.1215468200389,"128.23328752856702,33.1215468200389"
128.211515159677,33.1182718817694,"128.211515159677,33.1182718817694"
128.18984052920402,33.1150116450369,"128.18984052920402,33.1150116450369"
128.170765378876,33.112142414770005,"128.170765378876,33.112142414770005"
128.150076873712,33.1090305082227,"128.150076873712,33.1090305082227"
128.129968166926,33.1060058133109,"128.129968166926,33.1060058133109"
128.108893971289,33.10283589229149,"128.108893971289,33.10283589229149"
128.089745116557,33.0999555756161,"128.089745116557,33.0999555756161"
128.070495083773,33.0970600400238,"128.070495083773,33.0970600400238"
128.051148180128,33.0941499333899,"128.051148180128,33.0941499333899"
128.030242226557,33.091005318867104,"128.030242226557,33.091005318867104"
128.008921700542,33.0877983455276,"128.008921700542,33.0877983455276"
127.987321751878,33.0845493422218,"127.987321751878,33.0845493422218"
